,tweets,labels
0,الفار العور يشوف فقط كيسي ومايشوف ماتويد,Iraq
1,ي ديني ربنا يستر,Egypt
2,أساسا نسبكم قذر ونجس بلاش تتفاخروا بنجاستكم يا وهابيه,Iraq
3,ليست كل المشاعر تحتاج إلى حبيب بعض المشاعر تحتاج إلى رفيق لا يخذل صديق لا يوجع روح تظل معك ولا تمل منك,Morocco
4,لأ ني حاضرها هذي لايف,Libya
5,اللهم اشفي كل شخص عباله الدنيا واقفه عليه,United_Arab_Emirates
6,هيتقال عليك محروق ومش عارف تعمل زيهم,Egypt
7,والهوسات الزينه ابيت ماجد ياسين حمدالله ع سلامة الادمن احمد الدليمي,Iraq
8,انا من الناس المتخلفة اللي بتعمل كده للأسف بس عايزة اقول اني بفرح اكيد وببقي نفسي اقول كلام كتير للشخص ده و اني فعلا مبسوطة وفرحانة جداا بس برد ب شكرا ونفسي إنه يفهم من الكلمة دي كل ده معرفش ازاي بس هو كده وخلاص,Egypt
9,مشكلة موريتان عنها ماتلينا نكد نصنفوها من الدول فلحره كاع نعيبوها ولا نشكروها الدوله بمفهومها العام لم تعد موجودة ولم تكن لربما كانت هنالك محاولة إنشاء دولة وتبخرت مع حرب الصحراء والإنقلابات التي تلت تلك الفترة والمخزي فذ كامل عنك لين تتكلم يكول لك حد هاذي السياسه لا هذا الفيافي,Mauritania
10,انا حبيت شهاب خلاص,Egypt
11,فمن ذا الذي ينسيني همي غير ربي استغفرك ربي من هم الدنيا و همومها,Morocco
12,حرام عليك وليد حزام الصليهم عبدالوهاب جعفر هتانبن يطو بالعمري حسن عطيف الفهدمحمد سالم وين كديش اخاف تشوف لعيبه ثانين مانشوفهم,Saudi_Arabia
13,مش عارف ليه حظى قليل اوى كل ما اتنشن انا وابويا برغم بتفاهه التنشنه يروح هو تعبان وافضل اجلد واكسر نفسى اكتر وببقى عايز اى حد يهين من كرامتى وقول استاهل اشطه,Egypt
14,انطي دليل لسانج اطول منج جنج قيقو بس حجي ماكو دلائل,Iraq
15,اوك كم هدف جاب مع منتخبه,Bahrain
16,ايران انتو شنو مخربين,Syria
17,وقال فرعون ذروني اقتل موسى ء صووت ججميل,Saudi_Arabia
18,أشد الأعمال ثلاثة الجود من القلة والورع في الخلوة وكلمة الحق عند من يرجى ويخاف,Djibouti
19,المثل بقول أخوة يحكي وعاقل يسمع هل لعم بصير هوي لصالحي انا كمواطن لبناني انا مصلحتي حافظ على الأمن ولأمان ببلدي وطالب بتحسين وضع معيشتي من يالي فقرني وجوعني بهيدا البلد بس التطاول على الرموز الدينيه شو بفيدنا ما بفيدنا شي بالعكس بزيد الطيني باله,Lebanon
20,وأستغرب كيف سمحت لنفسي ان تتابعني انت فأنا لا أتشرف بكم كشعب وضع كالسرطان في هذه الأمة,Iraq
21,قبلها بيوم أو أيام,Oman
22,باقي يومين وتدفي جيبك ونا بعد ابي مثلكم ادفي يديني اءء اءء,Bahrain
23,بكفي فلسفة هبلة,Palestine
